id;client_nom;client_adresse;client_telephone
1;mobile Fish;Home Loan Account Table Computer;TraceXXXXX
2;Savings Account alarm;Tasty Metal Bacon;red Chips Soap
3;Home Loan Account;web-readiness;NamibiaXXX
4;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire
5;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Pu
6;infomediaries;Investment Account;Games Regional Digit
7;copy convergence;Mayotte;Industrial
8;connect Markets Chief;capacitor archive;sky blue Tasty Plast
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable
10;Small;deliverables reinvent 24 hour;overriding
